Comparing "summit_gnu_cmake_128node_6ppn_6gpn_box-s2v96w64x1120y32z24_s2v4w32x1y1z3_bk1_cuth-pop-20200624-ht/20200716_171649/stdout.txt.xz" and "summit_gnu_gmake_128node_42ppn_0gpn_box-s2v96w64x1120y32z24_s2v4w32x7y1z3_bk0_master-202006pop-ht/20200715_165112/stdout.txt.xz"
Name                             # Calls             Time              % t_loop       % parent    
            exz                        0     760      0.00     0.16      0.0     0.1    0.0   1.3
              ex_gen                   0     760      0.00     0.14      0.0     0.0    0.0  86.5
        eRK_stage_1                   95       0     16.51     0.00     11.6     0.0   41.7   0.0
        eRK_stage_2                   95       0      7.03     0.00      4.9     0.0   17.7   0.0
        eRK_stage_3                   95       0      8.00     0.00      5.6     0.0   20.2   0.0
        eRK_stage_4                   95       0      8.02     0.00      5.6     0.0   20.2   0.0
        f_to_GPU                     380       0      0.09     0.00      0.1     0.0    0.2   0.0
        g_to_GPU                     760       0      0.12     0.00      0.1     0.0    0.3   0.0
        h_to_GPU                     380       0      0.09     0.00      0.1     0.0    0.2   0.0
        rhs_to_GPU                   380       0      0.07     0.00      0.0     0.0    0.2   0.0
        rkupd                        285       0      0.38     0.00      0.3     0.0    1.0   0.0
      diag_exec                      100     100      7.31     4.95      5.1     1.8    5.1   1.8
        calcaux                       10      10      0.48     1.90      0.3     0.7    6.6  38.4
          bar_emf                     10      10      0.01     0.13      0.0     0.0    2.7   6.9
            ex_z                      10       0      0.01     0.00      0.0     0.0   61.5   0.0
            exz                        0      20      0.00     0.03      0.0     0.0    0.0  23.5
              ex_gen                   0      20      0.00     0.03      0.0     0.0    0.0 100.0
          calc_df1                    10      10      0.08     0.49      0.1     0.2   15.9  25.7
            ex_v                      10      10      0.03     0.09      0.0     0.0   40.3  17.6
              ex_gen                   0      20      0.00     0.09      0.0     0.0    0.0 100.0
            ex_z                      10       0      0.04     0.00      0.0     0.0   49.4   0.0
            exz                        0      10      0.00     0.23      0.0     0.1    0.0  48.2
              ex_gen                   0      10      0.00     0.21      0.0     0.1    0.0  91.5
          ccdens                      10      10      0.30     0.70      0.2     0.3   62.3  36.9
            calc_moments               0      10      0.00     0.20      0.0     0.1    0.0  27.9
            sum_vwsp                  10      10      0.29     0.50      0.2     0.2   95.7  71.5
          f_to_GPU                    10       0      0.00     0.00      0.0     0.0    0.6   0.0
          fldsolve                    10      10      0.09     0.58      0.1     0.2   18.6  30.4
            fldgathi                  20       0      0.00     0.00      0.0     0.0    3.3   0.0
            fldgathw                  10       0      0.06     0.00      0.0     0.0   71.1   0.0
        d_nrg                         10      10      6.70     2.96      4.7     1.1   91.7  59.7
          calc_moments                 0      10      0.00     0.62      0.0     0.2    0.0  20.9
      ts1                              1       1     77.45     2.65     54.2     1.0   54.2   1.0
        RK_standard                    1       1     77.45     2.65     54.2     1.0  100.0 100.0
          CalFRhs0                     4       4     34.59     1.69     24.2     0.6   44.7  63.7
            add_nl                     4     192      3.92     0.97      2.7     0.4   11.3  57.4
              calc_nl                  4     192      2.53     0.94      1.8     0.3   64.5  96.9
                mult_pre               0     192      0.00     0.03      0.0     0.0    0.0   2.7
                omultmax               0     384      0.00     0.01      0.0     0.0    0.0   1.4
