Task 1056 ( 1056/3072, 0/6 ) is bound to cpu[s] 0 on host e28n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1057 ( 1057/3072, 1/6 ) is bound to cpu[s] 4 on host e28n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1058 ( 1058/3072, 2/6 ) is bound to cpu[s] 8 on host e28n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1059 ( 1059/3072, 3/6 ) is bound to cpu[s] 88 on host e28n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 106 ( 106/3072, 4/6 ) is bound to cpu[s] 92 on host e08n10 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1060 ( 1060/3072, 4/6 ) is bound to cpu[s] 92 on host e28n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1061 ( 1061/3072, 5/6 ) is bound to cpu[s] 96 on host e28n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1062 ( 1062/3072, 0/6 ) is bound to cpu[s] 0 on host e28n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1063 ( 1063/3072, 1/6 ) is bound to cpu[s] 4 on host e28n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1064 ( 1064/3072, 2/6 ) is bound to cpu[s] 8 on host e28n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1065 ( 1065/3072, 3/6 ) is bound to cpu[s] 88 on host e28n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1066 ( 1066/3072, 4/6 ) is bound to cpu[s] 92 on host e28n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 1067 ( 1067/3072, 5/6 ) is bound to cpu[s] 96 on host e28n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
