Task 210 ( 210/768, 0/6 ) is bound to cpu[s] 0 on host a15n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 211 ( 211/768, 1/6 ) is bound to cpu[s] 4 on host a15n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 212 ( 212/768, 2/6 ) is bound to cpu[s] 8 on host a15n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 213 ( 213/768, 3/6 ) is bound to cpu[s] 88 on host a15n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 214 ( 214/768, 4/6 ) is bound to cpu[s] 92 on host a15n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 215 ( 215/768, 5/6 ) is bound to cpu[s] 96 on host a15n06 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 216 ( 216/768, 0/6 ) is bound to cpu[s] 0 on host a15n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 217 ( 217/768, 1/6 ) is bound to cpu[s] 4 on host a15n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 218 ( 218/768, 2/6 ) is bound to cpu[s] 8 on host a15n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 219 ( 219/768, 3/6 ) is bound to cpu[s] 88 on host a15n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 22 ( 22/768, 4/6 ) is bound to cpu[s] 92 on host a13n09 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 220 ( 220/768, 4/6 ) is bound to cpu[s] 92 on host a15n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 221 ( 221/768, 5/6 ) is bound to cpu[s] 96 on host a15n07 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 222 ( 222/768, 0/6 ) is bound to cpu[s] 0 on host a15n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 223 ( 223/768, 1/6 ) is bound to cpu[s] 4 on host a15n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 224 ( 224/768, 2/6 ) is bound to cpu[s] 8 on host a15n08 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
