Task 216 ( 216/384, 0/6 ) is bound to cpu[s] 0 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 217 ( 217/384, 1/6 ) is bound to cpu[s] 4 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 218 ( 218/384, 2/6 ) is bound to cpu[s] 8 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 219 ( 219/384, 3/6 ) is bound to cpu[s] 88 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={88} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 22 ( 22/384, 4/6 ) is bound to cpu[s] 92 on host c06n13 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 220 ( 220/384, 4/6 ) is bound to cpu[s] 92 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={92} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 221 ( 221/384, 5/6 ) is bound to cpu[s] 96 on host e28n03 with OMP_NUM_THREADS=1 and with OMP_PLACES={96} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 222 ( 222/384, 0/6 ) is bound to cpu[s] 0 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={0} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 223 ( 223/384, 1/6 ) is bound to cpu[s] 4 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={4} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
Task 224 ( 224/384, 2/6 ) is bound to cpu[s] 8 on host e28n04 with OMP_NUM_THREADS=1 and with OMP_PLACES={8} and CUDA_VISIBLE_DEVICES=0,1,2,3,4,5
